osnovna_valuta,kotirajoca_valuta,valutno_razmerje,datum_razmerja
AAVE,USD,53.21924296,2020-10-05 23:59:59
AAVE,USD,42.40159861,2020-10-06 23:59:59
AAVE,USD,40.08397561,2020-10-07 23:59:59
AAVE,USD,43.76446306,2020-10-08 23:59:59
AAVE,USD,46.81774415,2020-10-09 23:59:59
AAVE,USD,49.13371767,2020-10-10 23:59:59
AAVE,USD,49.66072573,2020-10-11 23:59:59
AAVE,USD,52.23869222,2020-10-12 23:59:59
AAVE,USD,51.12431679,2020-10-13 23:59:59
AAVE,USD,51.31651791,2020-10-14 23:59:59
AAVE,USD,44.01918294,2020-10-15 23:59:59
AAVE,USD,39.49584426,2020-10-16 23:59:59
AAVE,USD,41.36699325,2020-10-17 23:59:59
AAVE,USD,40.74697166,2020-10-18 23:59:59
AAVE,USD,36.01231739,2020-10-19 23:59:59
AAVE,USD,32.18001748,2020-10-20 23:59:59
AAVE,USD,35.16035652,2020-10-21 23:59:59
AAVE,USD,38.03165056,2020-10-22 23:59:59
AAVE,USD,41.68663736,2020-10-23 23:59:59
AAVE,USD,39.45502214,2020-10-24 23:59:59
AAVE,USD,37.90476078,2020-10-25 23:59:59
AAVE,USD,36.03392191,2020-10-26 23:59:59
AAVE,USD,34.87153083,2020-10-27 23:59:59
AAVE,USD,32.39408292,2020-10-28 23:59:59
AAVE,USD,29.09833402,2020-10-29 23:59:59
AAVE,USD,31.21782294,2020-10-30 23:59:59
AAVE,USD,29.70751775,2020-10-31 23:59:59
AAVE,USD,30.65727643,2020-11-01 23:59:59
AAVE,USD,29.73152358,2020-11-02 23:59:59
AAVE,USD,28.04280321,2020-11-03 23:59:59
AAVE,USD,27.71508436,2020-11-04 23:59:59
AAVE,USD,30.95562668,2020-11-05 23:59:59
AAVE,USD,38.45744081,2020-11-06 23:59:59
AAVE,USD,44.60489962,2020-11-07 23:59:59
AAVE,USD,53.74937894,2020-11-08 23:59:59
AAVE,USD,54.88649964,2020-11-09 23:59:59
AAVE,USD,67.00111098,2020-11-10 23:59:59
AAVE,USD,54.69964668,2020-11-11 23:59:59
AAVE,USD,51.63241804,2020-11-12 23:59:59
AAVE,USD,63.39907168,2020-11-13 23:59:59
AAVE,USD,67.01611273,2020-11-14 23:59:59
AAVE,USD,64.23729542,2020-11-15 23:59:59
AAVE,USD,71.76639355,2020-11-16 23:59:59
AAVE,USD,78.44328478,2020-11-17 23:59:59
AAVE,USD,75.23227405,2020-11-18 23:59:59
AAVE,USD,75.85718351,2020-11-19 23:59:59
AAVE,USD,75.06539972,2020-11-20 23:59:59
AAVE,USD,70.42424685,2020-11-21 23:59:59
AAVE,USD,68.42477869,2020-11-22 23:59:59
AAVE,USD,71.83861244,2020-11-23 23:59:59
