id,name,logo_url,transparency_grade,coverage_type,order_books,first_trade,first_candle,first_order_book,num_pairs,num_pairs_unmapped,last_updated,fiat_currencies,rank,weight,centralized,decentralized,1d.volume,1d.volume_change,1d.volume_change_pct,1d.trades,1d.trades_change,1d.trades_change_pct,1d.spot_volume,1d.spot_volume_change,1d.spot_volume_change_pct,1d.derivative_volume,1d.derivative_volume_change,1d.derivative_volume_change_pct,location,website_url
binance,Binance,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/binance.svg,A,trades,true,2017-07-13T00:00:00Z,2017-07-13T00:00:00Z,2018-08-29T00:00:00Z,2277,2,2022-04-15T14:41:58.246Z,AUD;BRL;EUR;GBP;NGN;RUB;TRY;UAH;USD;ZAR,1,1.0000,true,false,42560363674.36,-12611907991.38,-0.2286,33375894,-8838279,-0.2094,10206600606.95,-3255473125.87,-0.2418,32353763067.41,-9356434865.51,-0.2243,Malta,https://www.binance.com/
ftx,FTX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/ftx.png,A,trades,true,2019-03-05T00:00:00Z,2019-03-05T00:00:00Z,2019-10-15T00:00:00Z,2093,101,2022-04-15T14:41:59.127Z,AUD;BRL;EUR;USD,2,0.8076,true,false,7723691495.17,-1744366288.66,-0.1842,5816252,-1234339,-0.1751,1215373949.95,-209131060.91,-0.1468,6508317545.22,-1535235227.75,-0.1909,Antigua and Barbuda,https://ftx.com/
cryptomkt,CryptoMarket,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/cryptomkt.jpeg,A,trades,true,2013-12-27T00:00:00Z,2013-12-27T00:00:00Z,2021-12-01T00:00:00Z,161,5,2022-04-15T14:42:13.461Z,BRL;CLP;PEN,3,0.5309,true,false,2169132607.62,-623622685.78,-0.2233,659460,-1912,-0.0029,2169132607.62,-623622685.78,-0.2233,,,,Chile,https://www.cryptomkt.com/
gdax,Coinbase Exchange,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/gdax.png,A,trades,true,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,2018-09-11T00:00:00Z,516,3,2022-04-15T14:41:58.945Z,EUR;GBP;USD,4,0.8683,true,false,1693438332.17,-493486227.75,-0.2257,3518774,-311356,-0.0813,1693438332.17,-493486227.75,-0.2257,,,,United States,https://www.coinbase.com/
gateio,Gate.io,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/gateio.png,A,trades,true,2017-09-29T00:00:00Z,2017-09-29T00:00:00Z,2021-06-11T00:00:00Z,2746,64,2022-04-15T14:42:14.339Z,USD,5,0.7595,true,false,1523266543.93,-337306478.57,-0.1813,6913786,-787332,-0.1022,1523266543.93,-337306478.57,-0.1813,,,,Cayman Islands,https://www.gate.io/
lbank,Lbank,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/lbank.jpg,A,trades,true,2017-09-29T00:00:00Z,2017-09-29T00:00:00Z,2019-06-04T00:00:00Z,1510,83,2022-04-15T14:42:12.897Z,,6,0.6750,true,false,1170355525.20,-80700285.02,-0.0645,6688694,-240469,-0.0347,1170355525.20,-80700285.02,-0.0645,,,,China,https://www.lbank.info/
uniswapv3,Uniswap V3 (Ethereum),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/uniswapv3.png,A,trades,true,2021-05-04T00:00:00Z,2021-05-04T00:00:00Z,2021-11-11T00:00:00Z,4005,2458,2022-04-15T14:40:48Z,,7,0.8042,false,true,1108793021.14,-279822858.67,-0.2015,27784,-3647,-0.1160,1108793021.14,-279822858.67,-0.2015,,,,United States,https://uniswap.org
bitmex,BitMEX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/bitmex.png,A,trades,true,2014-11-06T00:00:00Z,2014-11-06T00:00:00Z,2018-09-12T00:00:00Z,338,502,2022-04-15T14:40:59.153Z,CNY;EUR;JPY;USD,8,0.7158,true,false,579952660.88,-392623782.89,-0.4037,184116,-61807,-0.2513,,,,579952660.88,-392623782.89,-0.4037,Seychelles,https://www.bitmex.com/
curve,Curve Finance,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/curve.jpg,A,trades,false,2021-03-03T00:00:00Z,2021-03-03T00:00:00Z,,232,236,2022-04-15T14:40:48Z,,9,0.6703,false,true,576882777.54,322487051.86,1.2677,762,-49,-0.0604,576882777.54,322487051.86,1.2677,,,,Switzerland,https://curve.fi/
kraken,Kraken,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/kraken.svg,A,trades,true,2013-09-10T00:00:00Z,2013-09-10T00:00:00Z,2019-01-31T00:00:00Z,526,0,2022-04-15T14:42:01.064Z,AUD;CAD;CHF;EUR;GBP;JPY;USD,10,0.7475,true,false,514022986.49,-179792054.57,-0.2591,456472,-134996,-0.2282,514022986.49,-179792054.57,-0.2591,,,,United States,https://www.kraken.com/
pancakeswapv2,PancakeSwap V2,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/pancakeswapv2.jpg,A,trades,true,2021-04-23T00:00:00Z,2021-04-23T00:00:00Z,2021-10-28T00:00:00Z,31329,860897,2022-04-15T14:41:09Z,,11,0.8081,false,true,484364851.96,117953417.93,0.3219,730935,-18325,-0.0245,484364851.96,117953417.93,0.3219,,,,Japan,https://pancakeswap.finance
deversifi,DeversiFi,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/deversifi.jpg,A,trades,true,2013-01-14T00:00:00Z,2013-01-14T00:00:00Z,2020-03-25T00:00:00Z,522,219,2022-04-15T14:41:52.419Z,EUR;GBP;JPY;USD,12,0.5752,false,true,362969985.62,-129347242.02,-0.2627,466301,-24376,-0.0497,362969985.62,-129347242.02,-0.2627,0.00,,,British Virgin Islands,https://www.deversifi.com/
